DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VII ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
,4,"Grammar Ch-16 Modals, Notice writing ",Choosing the correct modal verbs ,"they will be able to learn using modals correctly to express ability, permission, and advice.",विराम चिन्ह,विराम चिन्ह के भेदों  के चिन्हो को समझाना,भेदों को चिन्हो सहित  समझने  में सक्षम होंगे,Revision for PT 2 Exam,Practice sums from text book and extra marks study material.,Will know about different terms related to algebraic expressions and can be able to solve sums of addition and subtraction of algebra.,Ch 10 Electric current and its effect,"Explanation, discussion, videos and showing images, group activity, real life examples",Understand electric circuits and symbols. Learn about heating and magnetic effects of current. Use electromagnets and electric bells.,"Ch-7 Tibes, Nomads & Settled Communities (His.)","Reading, explanation, presentation, Group Discussion",Students learn about tribal people and communities ,फलानां नामानि,मौखिकाभ्यास:,शुद्धाशुद्ध ज्ञानकरणम्,Ch 7 Introduction to Flash,Lab activity : Flash,Students will able to creating  and starting a flash document
,5,Grammar Ch-17 Active and Passive Voice,Using active and passive voice effectively in writing ,they will be able to learn the difference between active and passive voice ,विज्ञापन लेखन,विज्ञापन लेखन के नियमों को समझाना,विज्ञापन लेखन के नियमों को   समझने  में सक्षम होंगे,PT 2 Exam ,,,Ch 10 Electric current and its effect,"Explanation, discussion, videos and showing images, group activity, real life examples",Understand electric circuits and symbols. Learn about heating and magnetic effects of current. Use electromagnets and electric bells.,Ch-9 Life in The Temperate Grasslands,"EXPLAIN,DISCUSSION,PROBLEM SOLVING,",They learn about the lifestyle of people who live in grasslands and vegetation and wildlife of this place ,अव्यया: अवशिष्ट,कक्षाभ्यास:,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch 8 Latest Trends ,Lab activity ,Students will able to cloud computing
"DECEMBER 2025
(21 DAYS)",1,"Poem- Garden Snake, Grammar Ch-18 Subject Verb Agreement ",Writing about a favorite Indian landmark or festival ,They will be able to learn about India's rich cultural heritage ,पाठ  -  13   वीर कुँवर सिह ,देश भक्ति के लिए योगदान,"इतिहास की समझ , देशभक्ति की भावना का विकास",Ch. 11 Exponents and Powers,Practice sums from text book and extra marks study material.,Will know different identities of exponents and power and can be able to solve sums of related topic.,Ch 11 Light,"Explanation, discussion, videos and showing images, group activity, real life examples",Learn properties of light and its reflection. Understand images formed by mirrors and lenses. Study the human eye and its functioning.,Ch- 8 Markets around us (Civics),"explanation, discussion, oral question, Ncert Exercise, Collect information about nayanwar","Knowledge about different types of shops,worker,permanent and casual job.",द्वादश:पाठ:-अमृतम संस्कृतम् ,पाठार्थ पठनं अभ्यास करणं च।,शुद्धाशुद्ध ज्ञानकरणम्,Ch 8 Latest Trends ,Lab activity ,Students will able to learn how to share Google sheets
,2,Grammar Ch-19 Adverbs,Finding Adverbs in sentences ,they will be able to learn the definition and function of adverbs ,"मुहावरे , लोकोक्ति",विभिन्न मुहावरों व्लोकोक्तियां को करवाना,लोक प्रचलित लोकोक्ति का ज्ञान प्राप्त करेंगे,Ch. 11 Exponents and Powers,Practice sums from text book and extra marks study material.,Will know different identities of exponents and power and can be able to solve sums of related topic.,Ch 11 Light,"Explanation, discussion, videos and showing images, group activity, real life examples",Learn properties of light and its reflection. Understand images formed by mirrors and lenses. Study the human eye and its functioning.,Ch- 8 Devotional Path to Divine (His.),"Reading, explanation, presentation, Group Discussion","The students will be able to undersd tell about Devotional path to divine (bhakti movement, Sufi movement,baudh and jain dharm,hindu dharma ",शरीरअंगानां नामानि,अभ्यास -कार्यम्,कक्षाभ्यास:,Ch 8 Latest Trends ,Lab activity ,Students will able to explain 3D printing
,3,Grammar Ch-20 Comparision of Adverbs,Finding Adverbs in sentences ,they will be able to learn the definition and function of adverbs ,"दैनंदिनी लेखन , सूचना लेखन",लेखन कार्य करवाना,दैनंदिनी लेखन व सूचना लेखन के नियमों  को  समझने में सक्षम  होंगे ,Ch. 11 Exponents and Powers,Practice sums from text book and extra marks study material.,Will know different identities of exponents and power and can be able to solve sums of related topic.,Ch 11 Light,"Explanation, discussion, videos and showing images, group activity, real life examples",Learn properties of light and its reflection. Understand images formed by mirrors and lenses. Study the human eye and its functioning.,Ch- 9 Making of a Regional Culture (His.),"Reading, explanation, presentation, Group Discussion","Knowledge about new empires and their administration system,regional culture",शब्द रुपाणि स्त्रीलिंग शब्दा:,कक्षाभ्यास:,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,Ch 8 Latest Trends ,Lab activity ,Students will able to use of IoT
,4,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,शीतकालीन अवकाश,,,Winter Vacation ,,
,5,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,,,,
"JANUARY 2026
 (14 DAYS)",1,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,,,,
,2,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,,,,
,3,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,,,,
,4,Ch-8 A homage to our brave soldiers ,Sharing thoughts on Ila's experience and decision ,they will be able to learn the importance of determination and perseverance ,संघर्ष के कारण मै तुनुक मिजाज हो गया : धनराज,जीवन के संघर्ष और उनके समाधान पर चर्चा,धनराज पिल्ले के साक्षात्कार को  समझने में सक्षम होंगे,Ch. 12 Symmetry,Practice sums from text book and extra marks study material.,Will know about symmetry and symmetrical objects.,Ch 12 Forest our lifeline,"Explanation, discussion, videos and showing images, group activity, real life examples",Recognize the role of forests in maintaining ecological balance. Identify layers of forests and their biodiversity. Understand interdependence in forest ecosystems.,CH-10 Struggle for Equality (Civics),"EXPLAIN,DISCUSSION,PROBLEM SOLVING,",Analytical and application of knowledge,त्रयोदश:पाठ:-लालन गीतम,कक्षाया:  वोधनम्,सद्असदज्ञान विषये जानन्तीति,ch9 Need for AI,Lab activity ,Students will able to understand the need for AI 
,5,"Grammar Ch-21 Preposition, Ch-22 Conjunction ",Fill in the blanks exercises ,they will be able to learn the function of conjunction ,पाठ  -14    आश्रम का अनुमानित व्यय,आश्रम के महत्व और उदेश्यों पर चर्चा,आश्रम जीवन की समझ का  ज्ञान प्राप्त होगा,Ch. 12 Symmetry,Practice sums from text book and extra marks study material.,Will know about symmetry and symmetrical objects.,Ch 12 Forest our lifeline,"Explanation, discussion, videos and showing images, group activity, real life examples",Recognize the role of forests in maintaining ecological balance. Identify layers of forests and their biodiversity. Understand interdependence in forest ecosystems.,Ch-10 Life in the Desert (Geo.),"explanation, discussion, oral question, Ncert Exercise, Collect information about nayanwar",thinking toward different climatic condition in desert.,शाकानां नामानि,पठनाभ्यास:,ज्ञान वृद्धि  करणम्,ch9 Need for AI,Lab activity ,Students will able to advantages and disadvantages of AI
"FEBRUARY 2026
 (24 DAYS)",1,"Ch- 6 A tiger in the house, Ch-7 An Alien Hand",Exploring the protagonist strength and challenges ,they will be able to learn the value of hard work and overcoming challenge ,निबंध लेखन ,लेखन कार्य  करवाना,निबंध लेखन के बिंदुओं को समझने में सक्षम होंगे,Ch. 12 Symmetry,Practice sums from text book and extra marks study material.,Will know about symmetry and symmetrical objects.,Ch 13 Wastewater story,"Explanation, discussion, videos and showing images, group activity, real life examples",Understand the process of sewage treatment. Learn ways to manage wastewater.Recognize the importance of sanitation and hygiene.,Ch-10 Eighteenth Century Political Formation (His.),"Reading, explanation, presentation, Group Discussion",Knowledge about new empires and their administration system,संबंधिनां नामानि,लेखन कार्यम्,शुद्ध अशुद्ध- विषये ज्ञास्यंतीति,ch9 Need for AI,Lab activity ,Students will able to define working of an AI system
,2,"Grmmar- Ch-23 Interjunctions, Ch-24 Direct Indirect speech ",Identifying and punctuating direct and indirect speech correctly ,they will be able to learn the difference between direct and indirect speech ,कहानी लेखन,लेखन कार्य  करवाना,कहानी लेखन क्षमता का विकास,Ch 13 Visualising solid shapes,Practice sums from text book and extra marks study material.,Will know that visualising solid objects from different positions.,Ch 13 Wastewater story,"Explanation, discussion, videos and showing images, group activity, real life examples",Understand the process of sewage treatment. Learn ways to manage wastewater.Recognize the importance of sanitation and hygiene.,Ch-10 Eighteenth Century Political Formation (His.),"Reading, explanation, presentation, Group Discussion",Knowledge about new empires and their administration system,रंगवाचक शब्दा:,पठनाभ्यास:,ज्ञान वृद्धि  करणम्,ch9 Need for AI,Lab activity ,Students will able to define list of applications of AI
,3,"Grammar Ch-25 Punctuation and Capital Letters, Diary entry ",Finding and identifying punctuation marks in texts,they will be able to learn the purpose and usage of various punctuation marks,पुनरावृत्ति कार्य  वार्षिक परीक्षा,मौखिक व लिखित अभ्यास,उच्च अंक प्राप्त करने  हेतु प्रयास,Ch 13 Visualising solid shapes,Practice sums from text book and extra marks study material.,Will know that visualising solid objects from different positions.,Revision for annual exam,Revision for annual exam,Revision for annual exam,Revision ,Revision ,Revision ,पुनरावृत्ति: वार्षिक परीक्षायाम,समूहे पाठनाभ्यास:,बाला:श्रेष्ठै: अंकै: लभन्ते,Revision for annual exam,,
,4,"Grammar Ch-26 Vocabulary, Letter writing, ",Defining and explaining vocabulary words,they will be able to learn expanding vocabulary and understanding word meaning ,पुनरावृत्ति कार्य  वार्षिक परीक्षा,मौखिक व लिखित अभ्यास,उच्च अंक प्राप्त करने  हेतु प्रयास,Ch 13 Visualising solid shapes,Practice sums from text book and extra marks study material.,Will know that visualising solid objects from different positions.,Revision for annual exam,Revision for annual exam,Revision for annual exam,Revision ,Revision ,Revision ,पुनरावृत्ति: वार्षिक परीक्षायाम,समूहे पाठनाभ्यास:,बाला:श्रेष्ठै: अंकै: लभन्ते,,,
"MARCH 2026
 (23 DAYS)",1,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,,,Annual exams,,,Annual exams,Annual exams,Annual exams,Annual exams,,,वार्षिक परीक्षा,,,Annual exams,Annual exams,Annual exams
,2,Annual exams,Annual exams,Annual exams,,,,Annual exams,,,Annual exams,Annual exams,Annual exams,,,,,,,Annual exams,Annual exams,Annual exams
,3,Annual exams,Annual exams,Annual exams,,,,Annual exams,,,Annual exams,Annual exams,Annual exams,,,,,,,Annual exams,Annual exams,Annual exams
,4,Annual exams,Annual exams,Annual exams,,,,Annual exams,,,Annual exams,Annual exams,Annual exams,,,,,,,Annual exams,Annual exams,Annual exams
,5,Annual exams,Annual exams,Annual exams,,,,Annual exams,,,Annual exams,Annual exams,Annual exams,,,,,,,Annual exams,Annual exams,Annual exams
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,रविता शर्मा,,,,,,,,,,,,,,,,
