DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VI ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
,2,Grammar Ch-19 Adverbs,Finding Adverbs in sentences ,they will be able to learn the definition and function of adverbs ,विराम चिन्ह ,अभ्यास पत्र ,व्याकरण ज्ञान, Ch 9 Symmetry ,"Students draw a line of symmetry through a shape or image, or identify where a line of symmetry would be.","Students can learn to identify symmetrical objects, draw lines of symmetry, and even create their own symmetrical design",Natures treasure,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about natural resources, their importance and conservation",Local Government in Urban Areas ,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about Urban government specially panchayati Raj system (Nagar palika),१४.      चतुर्दश: पाठ:       माधवस्य प्रिय अंगम्,अभ्यास पत्र ,१४.           माधवस्य प्रिय अंगम् विषये बोधनम,Ch 8 HTML,Lab activity : creating web page,Students will able to know line braek tag and heading tag
,3,Grammar Ch-20 Comparision of Adverbs,Finding Adverbs in sentences ,they will be able to learn the definition and function of adverbs , मुहावरे और लोकोक्तियाँ ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch 9 Symmetry ,Students are given half of a symmetrical image and asked to complete the other half.,"Students can learn to identify symmetry in nature, art, and everyday objects. 

",Natures treasure,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about natural resources, their importance and conservation",Local Government in Urban Areas ,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about Urban government specially panchayati Raj system (Nagar palika),पर्याया : विपर्याया :,मौखिकभ्यास:,पर्याया : शब्दानाम् ज्ञानं ऊ,Ch 8 HTML,Lab activity : creating web page,Students will able to know paragraph tag
,4,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश ,,,winters vacation ,,,Winter Vacation ,Winter Vacation ,dipawali break ,Winter Vacation ,Winter Vacation ,Winter Vacation ,शीतकालीन अवकाश ,,,Winter Vacation ,,
,5,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter vacation ,,,Winter Vacation ,Winter Vacation ,dipawali break ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,
"JANUARY 2026
 (14 DAYS)",1,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,winter vacation ,,,Winter Vacation ,Winter Vacation ,dipawali break ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,
,2,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,winter vacation ,,,Winter Vacation ,Winter Vacation ,dipawali break ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,
,3,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,Winter Vacation ,Winter Vacation ,dipawali break ,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,,,
,4,"Poem- The Kites, ch- 14 Ila, Sachani",Sharing thoughts on Ila's experience and decision ,they will be able to learn the importance of determination and perseverance ,हिन्द महासागर ,जल चक्र ,महासगार का ज्ञान ,Ch 9 Symmetry ,Students paint one side of a folded paper and then unfold it to create a butterfly pattern. ,"Students learn to distinguish between symmetrical and asymmetrical objects. 

",Natures treasure,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about natural resources, their importance and conservation",Local Government in Urban Areas ,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about Urban government specially panchayati Raj system (Nagar palika),"१५.       पंचदश: पाठ:   ‌‌   वृक्षा: सत्पुरुषा: इव, पर्याया: एवं वि पर्याया:",श्लोकानाम् भावार्थ ,१५.         वृक्षा: सत्पुरुषा: इव विषये बोधनम,ch9 Computer virus,Lab activity ,Students will able to define Virus and its full form
,5,"Grammar Ch-21 Preposition, Ch-22 Conjunction ",Fill in the blanks exercises ,they will be able to learn the function of conjunction ,पेड़ की यात्रा ,बीज से वृक्ष तक का सफर ,वृक्षों की उपयोगिता ,Ch 10 The other sides of zeros,Draw A number line Activity  from -10 to 10,"The main learning outcomes include understanding the concept of zero as the origin, visualizing numbers on the number line.",Natures treasure,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about natural resources, their importance and conservation",Economic activities around Us,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about  the value of money and non economic activities ,गीता श्लोका:,व्याख्याविधि:,शुद्धाशुद्धज्ञानकरणं,ch9 Computer virus,Lab activity ,Students will able to define types of virus
"FEBRUARY 2026
 (24 DAYS)",1,"Ch- 15 Embroiding dreams with her feet, Ch-16 National War Memorial ",Exploring the protagonist strength and challenges ,they will be able to learn the value of hard work and overcoming challenge ,सार  लेखन ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch 10 The other sides of zeros ,Plotting a number in numbers line positively and negatively., learning outcomes refer to understanding and applying the concept of zero within different mathematical contexts,Ch 12 Beyond Earth,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about beyond earth, celestial bodies, solar system, sun star..",Economic activities around Us,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about  the value of money and non economic activities ,स्वर सन्धि : सामान्य परिचय :,व्याख्याविधि:,शुद्धाशुद्धज्ञानकरणं,ch9 Computer virus,Lab activity ,Students will able to define virus evolution 
,2,"Grmmar- Ch-23 Interjunctions, Ch-24 Direct Indirect speech ",Identifying and punctuating direct and indirect speech correctly ,they will be able to learn the difference between direct and indirect speech ,निबंध लेखन ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch 10 The other sides of Zeros ,Integers addition and subtraction along number line both side ,Students also learn to plot positive and negative numbers and understand zero as a neutral integer. ,Ch 12 Beyond Earth,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about beyond earth, celestial bodies, solar system, sun star..",Economic activities around Us,DEBATE/LISTING FOREST PRODUCTS,They will be able to understand and tell about  the value of money and non economic activities ,पुष्पाणि नामानि,चार्टपत्रकेन पुष्पाणि चित्र ,विकसित मानसिकताया: विकास:,ch9 Computer virus,Lab activity ,Students will able to define how can a computer get virus
,3,"Grammar Ch-25 Punctuation and Capital Letters, Diary entry ",Finding and identifying punctuation marks in texts,they will be able to learn the purpose and usage of various punctuation marks,अपठित गद्यांश और पद्यांश ,अभ्यास पत्र ,,Revision for Annual exam ,,,Ch 12 Beyond Earth,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about beyond earth, celestial bodies, solar system, sun star..",Revision for Annual exam ,Revision for Annual exam ,Revision for Annual exam ,गीता श्लोका:,अभ्यास पत्र ,शुद्धाशुद्धज्ञानकरणं,Revision for annual exam,,
,4,"Grammar Ch-26 Vocabulary, Letter writing, ",Defining and explaining vocabulary words,they will be able to learn expanding vocabulary and understanding word meaning ,पुनरावत्ति वार्षिक परीक्षा,,उच्च अंक प्राप्तार्थ हेतु प्रयास,Revision for Annual exam ,,,Ch 12 Beyond Earth,"Explanation, discussion, videos and showing images, group activity, real life examples","Students will get tp know about beyond earth, celestial bodies, solar system, sun star..",Revision for Annual exam ,Revision for Annual exam ,Revision for Annual exam ,पुनरावत्ति: वार्षिक परीक्षा,,उच्च अंक प्राप्तार्थे  प्रयासरतो भवेयु:,,,
"MARCH 2026
 (23 DAYS)",1,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,,,Annual exams,Annual exams,Annual exams
,2,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams
,3,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams
,4,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams
,5,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams
,,,,,,,,,,,,,,,,,,,,,,
,,,,,सारिका सक्सेना ,,,,,,,,,,,,रंजीत कुमार तिवारी,,,,,
