DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS V ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,
,2,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,winter vacation ,,,winter vacations ,winter vacations ,winter vacations ,शीतकालीन अवकाश ,,,,,
,3,Winter Vacation ,Winter Vacation ,Winter Vacation ,,,,Winter Vacation ,,,winter vacations ,winter vacations ,winter vacations ,शीतकालीन अवकाश ,,,,,
,4,Ch-9 Sing a Song of People,Reciting the poem with expression and emotions ,they will be able to learn the poem's themes and messages ,पाठ 18  चुनौती हिमालय की,हिमालय के महत्व पर प्रकाश डालते हुए निबंध लेखन,हिमालय के महत्त्व का ज्ञान,Ch 13 Way to multiple and Divide,Use arrays (objects arranged in rows and columns) to visually represent multiplication,"They explore different multiplication methods, including long multiplication and grid method",Ch- 21 Like Father Like Daughter ,"discussion, reading visual aids, explanation, real life examples ","students will learn about inheritance of traits, They will be able to compare difference and similarities between them and their parents, students will know about the Gregor Mendel ",उपसर्गा:,अभ्यास कार्य ,उपसर्गयुक्तशब्दानां ज्ञानं ,ch9 Internet and cloud computing,Lab activity ,Students will able to know about the Internet and web page and website
,5,Ch-10 Malu Bhalu,Exploring Malu Bhalu's traits and experience ,they will be able to learn the consequences of different choices,पाठ 24 सूचना लेखन,अभ्यास पत्र,व्याकरण ज्ञान,Ch 13 Way to Multiply and Divide ,visuals like circles or diagrams to represent division problems. ,Memorize multiplication facts up to 10 x 10 to improve fluency. ,Ch- 21 Like Father Like Daughter ,"Text book reading, examples, discussion , visual aids, ","students will learn about inheritance of traits, They will be able to compare difference and similarities between them and their parents, students will know about the Gregor Mendel ",सर्वनाम शब्द ज्ञान ,व्याकरण ज्ञानं ,व्याकरण ज्ञानं ,ch9 Internet and cloud computing,Lab activity ,Students will able to define web browsing and search engine
"FEBRUARY 2026
 (24 DAYS)",1,Poem-10 Who will be Ningthou?,Role play,they will be able to learn the qualities of a good leader,पाठ 26 चित्र लेखन,चित्र लेखन कार्य,चित्र लेखन कार्य करने में सक्षम होंगे,Ch 14 How Big? How Heavy ?,They learn how to use tools like weighing scales and measuring tapes. ,Students learn to compare and estimate the size and weight of various objects. ,Ch-22 On the Move Again ,"Text book reading, examples, discussion , visual aids, ",Students will learn about farming season and their impacts; students will learn about difficulties that migrant communities faced; students will learn about different methods of irrigation and farming practices ,व्यावहारिक शब्दकोश: व नीतिश्लोका :,शब्दकोश : ज्ञानं ,शब्दकोश : ज्ञानं  व नीति परक कार्य करने के लिए प्रेरित करना,Ch 10 AI,Lab activity ,Students will able to define AI and its types
,2,Grammar Ch-25 Punctuation and Capital Letters ,Finding and identifying punctuation marks in texts,they will be able to learn the purpose and usage of various punctuation marks,पाठ 22 लोकोक्तियाँ,लोकोक्ति का लेखन कार्य,लोक प्रचलित लोकोक्ति का ज्ञान प्राप्त करेंगे,Ch 14 How Big? How Heavy?,Coin vs. Marble:,They apply their understanding of measurements to solve real-world problems. ,,,,Revision for Annual exam ,,,Ch 10 AI,Lab activity ,Students will able to tell features of AI and AI in our daily life
,3,Grammar Ch-26 Vocabulary ,Defining and explaining vocabulary words,they will be able to learn expanding vocabulary and understanding word meaning ,पाठ 30 कहानी लेखन ,लेखन कार्य,कहानी लेखन क्षमता का विकास,Revision for Annual exam ,,,Revision for Annual exam ,,,Revision for Annual exam ,,,Revision for Half Yearly Exam,,
,4,Dialogue Writing and Notice writing ,Writing a notice for a school event or meeting,Developing ability to write structured and organized noticed,पाठ 23 संवाद लेखन,लेखन कार्य,संवाद लेखन कौशल का विकास,Revision for Annual exam ,,,Revision for Annual exam ,,,,,,,,
"MARCH 2026
 (23 DAYS)",1,Annual exams,Annual exams,Annual exams,वार्षिक परीक्षा,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,Annual exams,,,Annual exams,Annual exams,Annual exams
,2,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,Annual exams,,,Annual exam ,Annual exams,Annual exams
,3,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,Annual exams,,,Annual exams,Annual exams,Annual exams
,4,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,Annual exams,,,Annual exams,Annual exams,Annual exams
,5,Annual exams,Annual exams,Annual exams,,,,Annual exams,Annual exams,Annual exams,Annual exams,Annual exams,,Annual exams,,,Annual exams,Annual exams,Annual exams
,,,,,,,,,,,,,,,,,,,
,,,,,अनीता शर्मा,रविता शर्मा,,,,,,,,,,,,,
,,,,,,,,,,,,,Seema Bedwal ,,,,,,
