DALMIA VIDYA MANDIR CHIRAWA,,,,,,,,,,,,,,,,,,,,,,
CURRICULUM TEACHING PLANNING -2025-26,,,,,,,,,,,,,,,,,,,,,,
SPLIT UP OF YEARLY SYLLABUS CLASS VIII ACADEMIC YEAR -2025-26,,,,,,,,,,,,,,,,,,,,,,
SUBJECT →,,ENGLISH,,,HINDI,,,MATHEMATICS,,,SCIENCE,,,SOCIAL SCIENCE,,,SANSKRIT,,,COMPUTER ,,
,2,Formal letters,Explanation & Practice,- will learn the format and different written aspects of formal letter. - will be able to prepare different formal letters.,"संबंधबोधक , समुच्चयबोधक ",अभ्यास पत्र ,व्याकरण ज्ञान,Ch.9 Exponents and Powers,Practice sums from text book and extra marks study material.,Will know about different identities of exponents and power and be able to solve sums related to exponents and power.,FORCE AND PRESSURE,SUBJET ENRICHMENT ACTIVITIES,STUDENTS WILL UNDERSTAND THE MEANING OF ADOLESCENCE AND ITS CHARACTERISTICS,Ch-9 The Making of the National Movement  ,GROUP ACTIVITY/DEBATE,LINK WITH CONSTITUTIONAL CHANGES,}kn'k% ikB%&d% j{kfr d% jf{kr% ¼vUrs fnols ekSf[kdkH;kl%½ ]xhrksins'k%,iBukH;klssu lg vH;kldk;Za pA,"vusu jf{krjk""V~lUnHksZ Kkudj.ka]fopkjk.kkeknkuiznkua pA",Ch 7 Google Meet ,Lab activity ,Students will able to know features of IM and Google Meet
,3,Informal letters,Explanation & Practice,- will know the format and situations to prepare informal letter.  - will be able to write letters according their need and purpose.,"विस्मयादिबोधक , निपात ",अभ्यास पत्र ,व्याकरण ज्ञान,Ch.9 Exponents and Powers,Practice sums from text book and extra marks study material.,Will know about different identities of exponents and power and be able to solve sums related to exponents and power.,FORCE AND PRESSURE,SUBJET ENRICHMENT ACTIVITIES,UNDERSTAND THE CONCEPT OF FORCE AND PRESSURE,Ch-10 India After Independence,GROUP ACTIVITY/DEBATE,ABOUT THE NATIONAL & REGIONAL DEVELOPMENTS ,#ERROR!,,"HkkjrL; lUnHksZ foLr`rKkudj.ka]tkx:drk Hkfo"";frA",Ch 7 Google Meet ,Lab activity ,Students will able to creating a new meeting 
,4,Direct and Indirect Speech,Explanation & Practice,- will know the structure of direct and indirect sentences. - will be able to report things or statement effectively and correctly.,"अकबरी लोटा , सूर के पद","कहानी लेखन , पद पढ़ना ","सोच समझ कर निर्णय लेना, श्री कृष्ण की लीला का ज्ञान",Revision for PT2 exam.,Practice sums from text book and extra marks study material.,Will know about different identities of exponents and power and be able to solve sums related to exponents and power.,FRICTION,EXPLANATION AND DEMONSTRATION,UNDERSTAND THEVARIOUS TERMS OF FRICTION,Ch-10 India After Independence,GROUP ACTIVITY/DEBATE,ABOUT THE NATIONAL & REGIONAL DEVELOPMENTS ,#ERROR!,,,Ch 7 Google Meet ,Lab activity ,Students will able to starting an instant meeting
,5,Essay writing,Explanation & Practice,"- will develop critical thinking, effective communication, and research abilities. - will be able to present their views and thoughts on various issues and will describe things properly in written.",,,,PT 2 Exam ,,,FRICTION,EXPLANATION AND DEMONSTRATION,UNDERSTAND THEVARIOUS TERMS OF FRICTION,"Ch-5 Industries: Major Industries- Iron and Steel, Cotton Textile",GROUP ACTIVITY/DEBATE,ABOUT MAJOR INDUSTRIES & THEIR DISTRIBUTION ACROSS INDIA,,,,Ch 7 Google Meet ,Lab activity ,Students will able to chat with others and to leave the meeting
"DECEMBER 2025
(21 DAYS)",1,Revision for annual examination ,,,"पद परिचय , पदबंध ",अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 10 Direct and Inverse Proportion,Practice sums from text book and extra marks study material.,Will be able to solve sums related to direct and indirect proportions.,FRICTION,EXPLANATION AND DEMONSTRATION,UNDERSTAND THEVARIOUS TERMS OF FRICTION,"Ch-5 Industries: Major Industries- Iron and Steel, Cotton Textile",GROUP ACTIVITY/DEBATE,ABOUT MAJOR INDUSTRIES & THEIR DISTRIBUTION ACROSS INDIA,prqnZ'k% ikB%&vk;ZHkV% ¼vUrs fnols ekSf[kdkH;kl%½ ]xhrksins'k%,vk;ZHkVlUnHksZ foLr`rKkudj.ka ]izkphuizFkk;k% lUnHkssZ Nk=ifjKkua] uSfrdrk;k% cks/kua pA,iBukH;klssu lg vH;kldk;Za pA,Ch 8 Cycbercrimes and securities,Lab activity ,Students will able to define computer ethics and cybercrime
,2,Revision for annual examination ,,,"वाक्य , अशुद्ध वाक्यों का संशोधन ",अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 10 Direct and Inverse Proportion,Practice sums from text book and extra marks study material.,Will be able to solve sums related to direct and indirect proportions.,SOUND,EXPLANATION AND DEMONSTRATION,UNDERSTAND THE VARIOUS TERM OF SOUND,Ch-9 Public Facilities,GROUP ACTIVITY/DEBATE,Able to aware of public facilities & their significance. Further they will be able to explain the inequalities that exist in the distribution of water & other public facilituies in India & the measures to overcome these inequalities.,iapn'k% ikB% & izgsfydk% ]xhrksins'k%,izgsfydkKkudj.ka] leL;kikdj.kaa pA,pkVZ&fuekZ.k&dk;Ze~ pA,Ch 8 Cycbercrimes and securities,Lab activity ,Students will able to define cyber security and its advantages
,3,Revision for annual examination ,,,"विराम चिन्ह , मुहावरे और लोकोक्तियाँ ",अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 11 Factorisation,Practice sums from text book and extra marks study material.,Will learn to find factors of given algebraic expressions.,SOUND,EXPLANATION AND DEMONSTRATION,UNDERSTAND THE VARIOUS TERM OF SOUND,Ch-9 Public Facilitie,GROUP ACTIVITY/DEBATE,Able to aware of public facilities & their significance. Further they will be able to explain the inequalities that exist in the distribution of water & other public facilituies in India & the measures to overcome these inequalities.,iapn'k% ikB% & izgsfydk% ¼vUrs fnols ekSf[kdkH;kl%½ ]xhrksins'k%,izgsfydkKkudj.ka] leL;kikdj.kaa pA,pkVZ&fuekZ.k&dk;Ze~ pA,Ch 8 Cycbercrimes and securities,Lab activity ,Students will able to know cyber law of India
,4,,,,शीतकालीन अवकाश,,,Winter Vacation ,,,WINTER VACATION,WINTER VACATION,WINTER VACATION,WINTER VACATION,,,ikfBrizR;;kuka ijh{k.ke~ ]xhrksins'k%,v'kqf}ukeikdj.ka 'kq}ys[kua leL;klek/kkua pA,ikfBr&ikBkuka ijh{k.ke~,Winter Vacation ,,
,5,,,,,,,Winter Vacation ,,,WINTER VACATION,WINTER VACATION,WINTER VACATION,,,,,,,,,
"JANUARY 2026
 (14 DAYS)",1,,,,,,,Winter Vacation ,,,WINTER VACATION,WINTER VACATION,WINTER VACATION,,,,vuqokn&izdj.ke~ ¼vUrs fnols ekSf[kdkH;kl%½ ]xhrksins'k%,d{kkijh{k.ka p,dkykuqlkjs.k okD;fuekZ.kdj.ka ]/;kudssfUnzdj.ka pA,,,
,2,,,,,,,Winter Vacation ,,,WINTER VACATION,WINTER VACATION,WINTER VACATION,,,,fp=k/kkfjr&okD;fuekZ.kkfu ¼vUrs fnols ekSf[kdkH;kl%½ ]xhrksins'k%,ikfBr&ikBkuka ijh{k.ke~,fp=kuqlkjs.k okD;fuekZ.kdj.ka ]/;kudssfUnzdj.ka pA,,,
,3,,,,,,,Winter Vacation ,,,,,,,,,iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,ikfBr&ikBkuka ijh{k.ke~,"fopkjk.kkeknkuiznkua Hkfo"";fr",,,
,4,,,,"पानी की कहानी , बाज़ और सांप","जल चक्र , अनुच्छेद लेखन ",व्याकरण ज्ञान,Ch. 11 Factorisation,Practice sums from text book and extra marks study material.,Will learn to find factors of given algebraic expressions.,CHEMICAL EFFECTS OF ELECTRIC CURRENT,EXPLANATION OF EACH TERM,UNDERTAND THE CONCEPT OF ELECTRIC CURRENT AND ITS EFFECT,Ch-6 Human Resources: Distribution of Population,GROUP ACTIVITY/DEBATE,ABOUT THE ROLE OF HUMAN RESOURCES IN DEVELOPMENT OF NATION'S ECONOMY,iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,,"fopkjk.kkeknkuiznkua Hkfo"";fr",ch9 Artificial Intelligence,Lab activity ,Students will able to define human intelligence and machine
,5,,,,विज्ञापन लेखन ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 11 Factorisation,Practice sums from text book and extra marks study material.,Will learn to find factors of given algebraic expressions.,CHEMICAL EFFECTS OF ELECTRIC CURRENT,EXPLANATION OF EACH TERM,UNDERTAND THE CONCEPT OF ELECTRIC CURRENT AND ITS EFFECT,Ch-6 Human Resources: Distribution of Population,GROUP ACTIVITY/DEBATE,ABOUT THE ROLE OF HUMAN RESOURCES IN DEVELOPMENT OF NATION'S ECONOMY,,,,ch9 Artificial Intelligence,Lab activity ,Students will able to define perception and problem solving
"FEBRUARY 2026
 (24 DAYS)",1,,,,विज्ञापन लेखन ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 11 Factorisation,Practice sums from text book and extra marks study material.,Will learn to find factors of given algebraic expressions.,SOME NATURAL PHENOMENON,EXPLANATION OF EACH TERM,UNDERSTAND THE TERMS OF SOUND,Ch-10 Law and Social Justice,GROUP ACTIVITY/DEBATE,LINKS BETWEEN PEOPLE'S ASPIRATIONS/NEEDS & ROLE OF GOVERNMENT.,'kCn:ikf.k -iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,ikfBr&ikBkuka ijh{k.ke~,kCnkuqlkjs.k okD;fuekZ.kdj.ka ]/;kudssfUnzdj.ka pA,ch9 Artificial Intelligence,Lab activity ,Students will able to define AI and Neurons
,2,,,,निबंध लेखन ,अभ्यास पत्र ,व्याकरण ज्ञान,Ch. 12 Introduction to Graph,Practice sums from text book and extra marks study material.,Will learn to plot graph of given data.,LIGHT,EXPLANATION OF EACH TERM,UNDERSTAND THE TERMS OF LIGHT,Ch-10 Law and Social Justice,GROUP ACTIVITY/DEBATE,LINKS BETWEEN PEOPLE'S ASPIRATIONS/NEEDS & ROLE OF GOVERNMENT.,i;kZ;okphikBua iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,pkVZ&fuekZ.k&dk;Ze~,kCnkuqlkjs.k okD;fuekZ.kdj.ka ]/;kudssfUnzdj.ka pA,ch9 Artificial Intelligence,Lab activity ,Students will able to know AI programming languages
,3,,,,"अलंकार , अपठित गद्यांश और पद्यांश ",अभ्यास पत्र ,,Ch. 12 Introduction to Graph,Practice sums from text book and extra marks study material.,Will learn to plot graph of given data.,LIGHT,EXPLANATION OF EACH TERM,UNDERSTAND THE TERMS OF LIGHT,Revision ,Revision ,Revision ,i=ys[kue~] iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,ikfBr&ikBkuka ijh{k.ke~,"fo""k;kuqlkjs.k i=ys[kudj.ka ]/;kudssfUnzdj.ka pA",Revision for annual exam,,
,4,,,,पुनरावृत्ति वार्षिक परीक्षा,,उच्च अंक प्राप्तार्थ हेतु प्रयास,Ch. 12 Introduction to Graph,Practice sums from text book and extra marks study material.,Will learn to plot graph of given data.,REVISION,EXPLANATION OF EACH TERM,FOR ACHIEVING HIGH GRADES,Revision ,Revision ,Revision ,i=ys[kue~] iqujkof`Rr% ijh{k.ka p ]xhrksins'k%,ikfBr&ikBkuka ijh{k.ke~,"fo""k;kuqlkjs.k i=ys[kudj.ka ]/;kudssfUnzdj.ka pA",,,
"MARCH 2026
 (23 DAYS)",1,,,,वार्षिक परीक्षा,,,Annual exams,,,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,,,iqujkof`Rr% ijh{k.ka p,,,Annual exams,Annual exams,Annual exams
,2,,,,,,,Annual exams,,,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,,,,iqujkof`Rr% ijh{k.ka p,,,Annual exams,Annual exams,Annual exams
,3,,,,,,,Annual exams,,,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,,,,"okf""kZdh ijh{kk",,,Annual exams,Annual exams,Annual exams
,4,,,,,,,Annual exams,,,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,,,,"okf""kZdh ijh{kk",,,Annual exams,Annual exams,Annual exams
,5,,,,,,,Annual exams,,,ANNUAL EXAMINATION,ANNUAL EXAMINATION,ANNUAL EXAMINATION,,,,,,,Annual exams,Annual exams,Annual exams
,,,,,,,,,,,,,,,,,,,,,,
,,,,,सारिका सक्सेना ,,,,,,,,,,,,,,,,,
